prob,n,search_name,mean_times,ci95_times,mean_expanded,ci95_expanded
0.1,8,astar,2.672740025445819e-05,4.853240921803784e-06,7.94,1.4746300417392832
0.1,8,jps,4.5158378779888155e-05,5.746965531392908e-06,4.38,0.6810161818929122
0.1,12,astar,4.7429983387701215e-05,9.117615723058637e-06,14.3,2.816332366749351
0.1,12,jps,7.004416023846716e-05,9.187094738065e-06,6.3,0.9927174824692067
0.1,20,astar,0.00015577005804516376,6.061272107856345e-05,41.76,16.06005019170239
0.1,20,jps,0.00017434331821277737,5.1540875877087646e-05,13.08,4.315576698426295
0.25,8,astar,2.6390901184640824e-05,5.3891417978044675e-06,9.38,2.1197978771571595
0.25,8,jps,3.4469178062863646e-05,4.97231935164913e-06,5.14,0.7779970179891436
0.25,12,astar,5.8634941233322024e-05,1.463824489216945e-05,21.62,5.8107630342322505
0.25,12,jps,6.836505956016481e-05,1.4080571608796334e-05,9.96,2.1810975585699963
0.25,20,astar,9.955833782441914e-05,3.095933335630445e-05,35.46,12.093564013970406
0.25,20,jps,0.00011458338180091232,2.9771652567490472e-05,15.4,3.983879516250459
0.5,8,astar,1.3903258368372917e-05,3.565121842046018e-06,6.06,1.4841690469754447
0.5,8,jps,1.4161599683575332e-05,3.336480221595023e-06,2.84,0.6014723268779703
0.5,12,astar,2.1889977506361902e-05,5.462090673654322e-06,9.44,2.328657501651971
0.5,12,jps,2.2474981378763914e-05,5.443698801333913e-06,4.58,1.0932054884604265
0.5,20,astar,5.733406054787338e-05,1.621227415894125e-05,23.1,6.553017015085494
0.5,20,jps,5.647329962812364e-05,1.670614094045566e-05,9.86,2.7780797972700495
0.75,8,astar,4.450059495866299e-06,1.0495636787635977e-06,2.06,0.42059690916600895
0.75,8,jps,4.4616567902266975e-06,9.084274433775236e-07,1.28,0.1485847906079219
0.75,12,astar,6.5966218244284395e-06,1.6074267413262932e-06,3.02,0.6731423623573248
0.75,12,jps,6.262499373406172e-06,1.5571709954042099e-06,1.48,0.2757111532020422
0.75,20,astar,6.802338175475597e-06,1.958534293962797e-06,3.14,0.8211402803419157
0.75,20,jps,6.378379766829312e-06,1.7077679077917707e-06,1.54,0.2921139503686874
